time_s,tracker_id,qx,qy,qz,qw,raw_grip
12.0243,CubeBlue,0.2217,0.3840,-0.1075,0.8898,0
12.1379,CubeRed,-0.0001,-0.1408,-0.0026,0.9900,0
12.1381,CubeBlue,0.2206,0.3840,-0.1073,0.8901,0
12.1656,CubeRed,0.0007,-0.1409,-0.0035,0.9900,0
12.1657,CubeBlue,0.2211,0.3837,-0.1081,0.8900,0
12.2211,CubeRed,0.0007,-0.1409,-0.0035,0.9900,0
12.2212,CubeBlue,0.2220,0.3837,-0.1081,0.8898,0
12.3303,CubeRed,0.0007,-0.1408,-0.0019,0.9900,0
12.3305,CubeBlue,0.2212,0.3839,-0.1073,0.8901,0
12.3602,CubeRed,0.0004,-0.1409,-0.0028,0.9900,0
12.3603,CubeBlue,0.2212,0.3839,-0.1070,0.8901,0
12.4143,CubeRed,0.0063,-0.1484,-0.0032,0.9889,0
12.4145,CubeBlue,0.2210,0.3837,-0.1078,0.8901,0
12.5258,CubeRed,-0.0036,-0.1762,-0.0045,0.9843,0
12.5259,CubeBlue,0.2212,0.3837,-0.1079,0.8900,0
12.5548,CubeRed,-0.0006,-0.1764,-0.0052,0.9843,0
12.5553,CubeBlue,0.2217,0.3838,-0.1074,0.8899,2
12.6084,CubeRed,-0.0005,-0.1757,-0.0051,0.9844,0
12.6085,CubeBlue,0.2208,0.3839,-0.1071,0.8902,2
12.7206,CubeRed,0.0000,-0.1756,-0.0042,0.9845,0
12.7208,CubeBlue,0.2223,0.3838,-0.1075,0.8898,0
12.7485,CubeRed,-0.0013,-0.1729,-0.0027,0.9849,0
12.7487,CubeBlue,0.2213,0.3837,-0.1077,0.8900,0
