time_s,tracker_id,qx,qy,qz,qw,raw_grip
7.7738,CubeRed,-0.2236,0.2571,-0.6484,0.6808,0
7.7740,CubeBlue,0.0488,-0.3507,-0.0723,0.9324,0
7.8856,CubeRed,-0.2223,0.2585,-0.6485,0.6806,6
7.8858,CubeBlue,0.0473,-0.3508,-0.0703,0.9326,0
7.9143,CubeRed,-0.2225,0.2584,-0.6485,0.6806,0
7.9145,CubeBlue,0.0453,-0.3509,-0.0673,0.9329,0
7.9683,CubeRed,-0.2225,0.2584,-0.6485,0.6806,0
7.9685,CubeBlue,0.0444,-0.3509,-0.0664,0.9330,0
8.0809,CubeRed,-0.2232,0.2579,-0.6479,0.6811,0
8.0812,CubeBlue,0.0438,-0.3510,-0.0655,0.9331,0
8.1098,CubeRed,-0.2233,0.2580,-0.6478,0.6811,0
8.1100,CubeBlue,0.0418,-0.3511,-0.0627,0.9333,0
8.1646,CubeRed,-0.2226,0.2587,-0.6484,0.6805,0
8.1648,CubeBlue,0.0413,-0.3511,-0.0618,0.9334,0
8.2745,CubeRed,-0.2232,0.2582,-0.6478,0.6811,0
8.2747,CubeBlue,0.0399,-0.3511,-0.0599,0.9336,0
8.3048,CubeRed,-0.2231,0.2584,-0.6476,0.6812,0
8.3053,CubeBlue,0.0373,-0.3512,-0.0564,0.9338,0
8.3568,CubeRed,-0.2238,0.2578,-0.6473,0.6815,0
8.3570,CubeBlue,0.0367,-0.3512,-0.0556,0.9339,0
8.4700,CubeRed,-0.2225,0.2592,-0.6483,0.6805,0
8.4702,CubeBlue,0.0361,-0.3513,-0.0546,0.9340,0
8.4984,CubeRed,-0.2227,0.2591,-0.6480,0.6807,0
8.4985,CubeBlue,0.0342,-0.3514,-0.0520,0.9342,0
8.5523,CubeRed,-0.2227,0.2591,-0.6480,0.6807,0
8.5524,CubeBlue,0.0336,-0.3514,-0.0511,0.9342,0
8.6647,CubeRed,-0.2235,0.2584,-0.6476,0.6811,0
8.6649,CubeBlue,0.0323,-0.3514,-0.0493,0.9343,0
8.6918,CubeRed,-0.2238,0.2583,-0.6472,0.6814,0
8.6920,CubeBlue,0.0304,-0.3515,-0.0467,0.9345,0
8.7493,CubeRed,-0.2232,0.2589,-0.6481,0.6806,0
8.7495,CubeBlue,0.0304,-0.3515,-0.0467,0.9345,0
8.8591,CubeRed,-0.2237,0.2585,-0.6475,0.6811,0
8.8593,CubeBlue,0.0293,-0.3515,-0.0449,0.9346,0
8.8875,CubeRed,-0.2235,0.2588,-0.6476,0.6809,0
8.8880,CubeBlue,0.0267,-0.3516,-0.0413,0.9349,0
8.9413,CubeRed,-0.2235,0.2588,-0.6476,0.6809,0
8.9415,CubeBlue,0.0259,-0.3516,-0.0405,0.9349,0
9.0531,CubeRed,-0.2238,0.2587,-0.6478,0.6807,0
9.0535,CubeBlue,0.0254,-0.3516,-0.0397,0.9350,0
9.0812,CubeRed,-0.2238,0.2587,-0.6475,0.6810,0
9.0814,CubeBlue,0.0230,-0.3517,-0.0361,0.9351,0
9.1354,CubeRed,-0.2234,0.2592,-0.6482,0.6803,0
9.1356,CubeBlue,0.0230,-0.3517,-0.0361,0.9351,0
9.2478,CubeRed,-0.2237,0.2590,-0.6475,0.6809,0
9.2481,CubeBlue,0.0217,-0.3517,-0.0343,0.9352,0
9.2765,CubeRed,-0.2234,0.2594,-0.6475,0.6808,0
9.2766,CubeBlue,0.0198,-0.3518,-0.0316,0.9354,0
9.3302,CubeRed,-0.2241,0.2588,-0.6476,0.6808,0
9.3304,CubeBlue,0.0190,-0.3517,-0.0308,0.9354,0
9.4436,CubeRed,-0.2236,0.2593,-0.6481,0.6802,0
9.4438,CubeBlue,0.0180,-0.3517,-0.0289,0.9355,0
9.4714,CubeRed,-0.2240,0.2591,-0.6481,0.6802,0
9.4718,CubeBlue,0.0155,-0.3518,-0.0254,0.9356,0
9.5243,CubeRed,-0.2240,0.2591,-0.6477,0.6806,0
9.5245,CubeBlue,0.0155,-0.3518,-0.0254,0.9356,0
9.6382,CubeRed,-0.2242,0.2591,-0.6481,0.6801,0
9.6384,CubeBlue,0.0147,-0.3518,-0.0247,0.9356,0
9.6662,CubeRed,-0.2237,0.2596,-0.6480,0.6802,0
9.6666,CubeBlue,-0.0012,-0.3742,-0.0409,0.9265,0
9.7185,CubeRed,-0.2245,0.2590,-0.6478,0.6803,0
9.7187,CubeBlue,-0.0033,-0.3965,-0.0397,0.9172,0
9.8327,CubeRed,-0.2241,0.2594,-0.6475,0.6806,0
9.8331,CubeBlue,-0.0075,-0.4369,-0.0360,0.8988,0
9.8602,CubeRed,-0.2240,0.2596,-0.6477,0.6803,0
9.8604,CubeBlue,-0.0045,-0.4632,-0.0299,0.8857,0
9.9151,CubeRed,-0.2243,0.2594,-0.6482,0.6798,0
9.9153,CubeBlue,-0.0045,-0.4632,-0.0299,0.8857,0
10.0285,CubeRed,-0.2245,0.2593,-0.6476,0.6804,0
10.0286,CubeBlue,-0.0009,-0.4632,-0.0268,0.8859,0
10.0562,CubeRed,-0.2242,0.2596,-0.6482,0.6798,0
10.0568,CubeBlue,0.0035,-0.4631,-0.0230,0.8860,0
10.1071,CubeRed,-0.2240,0.2600,-0.6477,0.6802,0
10.1072,CubeBlue,0.0047,-0.4631,-0.0218,0.8860,0
10.2233,CubeRed,-0.2244,0.2596,-0.6481,0.6799,0
10.2236,CubeBlue,0.0068,-0.4630,-0.0200,0.8861,0
10.2473,CubeRed,-0.2240,0.2602,-0.6480,0.6798,0
10.2475,CubeBlue,0.0089,-0.4630,-0.0185,0.8861,0
10.3015,CubeRed,-0.2245,0.2597,-0.6478,0.6801,0
10.3017,CubeBlue,0.0089,-0.4630,-0.0185,0.8861,0
10.4140,CubeRed,-0.2242,0.2600,-0.6472,0.6806,0
10.4143,CubeBlue,0.0105,-0.4629,-0.0173,0.8862,0
10.4405,CubeRed,-0.2240,0.2604,-0.6476,0.6801,0
10.4407,CubeBlue,0.0108,-0.4629,-0.0167,0.8862,0
10.4980,CubeRed,-0.2242,0.2603,-0.6482,0.6796,0
10.4982,CubeBlue,0.0111,-0.4629,-0.0179,0.8862,0
10.6078,CubeRed,-0.2246,0.2600,-0.6476,0.6802,0
10.6080,CubeBlue,0.0107,-0.4628,-0.0167,0.8862,0
10.6371,CubeRed,-0.2246,0.2601,-0.6470,0.6806,0
10.6376,CubeBlue,0.0108,-0.4628,-0.0166,0.8862,0
10.6909,CubeRed,-0.2242,0.2605,-0.6477,0.6800,0
10.6910,CubeBlue,0.0108,-0.4628,-0.0166,0.8862,0
10.8027,CubeRed,-0.2246,0.2602,-0.6480,0.6797,0
